Item,Peel,Halton
Feathers,C,C
Hair - human or animal,C,C
Nail clippings,C,C
Pizza box (greasy),C,C
Cereal/ pasta or cakemix box,R,R
Cotton balls,C,G
Q-tips,G,G
Computer,S,S
Electronics,S,S
Battery,S,S
Yarn,G,G
Baked goods,C,C
Baking ingredients,C,C
Bird seed,C,C
Bread,C,C
Butter and margarine,C,C
Cake and candy,C,C
Cereals and grains,C,C
Coffee grounds and filters,C,C
Cores,C,C
Corn cobs and husks,C,C
Dairy and non-dairy products,C,C
Eggs and eggshells,C,C
Fish,C,C
Flour,C,C
Food and leftovers,C,C
Food scraps,C,C
Fruit,C,C
Fruit or vegetable peels,C,C
Grease and fat from food,C,C
Herbs,C,C
Loose tea,C,C
Mayonnaise,C,C
Meat,C,C
Muffin paper cups or parchment paper,C,C
Nuts and shells,C,C
Oatmeal and oats,C,C
Pasta,C,C
Popcorn,C,C
Pumpkin,C,C
Rice,C,C
Salad and dressing,C,C
Sauce (e.g. Sour Cream),C,C
Seeds,C,C
Shells,C,C
Sugar and spices,C,C
Tea bag,C,C
Vegetables/ legumes or pulses,C,C
Yogurt,C,C
Applesauce/ jello and pudding cups (single serving),R,R
Aseptic container or box (soy/ milk/ juice/ water/ soup/ drinks),R,R
Bread bag,R,R
Clear plastic egg carton,R,R
Coffee can,R,R
Cookie/ chocolate/ toffee or biscuit tin,R,R
Cottage cheese tub,R,R
Dairy tubs and lids,R,R
Foam egg cartons,R,R
Food and snack cans (aluminum/ steel/ paperboard),R,R
Frozen dinner plastic food tray,R,R
Frozen vegetable bag,R,R
Iced cappuccino/ shush or slurpy cup and lid,R,R
Juice box,R,R
Metal bottles and cans (empty),R,R
Metal coffee can,R,R
Metal paint cans with metal handles (empty),R,R
Milk bags or transparent bags,R,R
Milk carton,R,R
Paper egg carton and takeout coffee trays,R,R
Paper ice cream carton or tub,R,R
Paper roll and coffee cup sleeves,R,R
Paperboard or spiral cans,R,R
Pizza box (empty),R,R
Flowers,C,C
House plants with soil removed,C,C
Paper bags and cellulose-lined paper bags,C,C
Paper napkin,C,C
Paper plate,C,C
Paper towel,C,C
Plastic beer cups or plates,R,R
Plastic beverage container,R,R
Plastic clamshell packaging for fruit/ vegetables or baked goods,R,R
Plastic coffee container,R,R
Plastic cookie/ cracker/ or chocolate trays,R,R
Plastic film overwrap on goods in cases,R,R
Plastic food and drink containers or Tupperware,R,R
Plastic food packaging,R,R
Plastic grocery or retail bags,R,R
Plastic ice cream tub,R,R
Plastic jar,R,R
Plastic jug for detergent/ laundry soap or fabric softener,R,R
Plastic packaging and bottles,R,R
Plastic packaging including clam shell containers/ domed lids and plastic liners,R,R
Plastic pail (smaller than 5 litres),R,R
Plastic paint cans with plastic handles (empty),R,R
Plastic plant/ flower pots/ flats/ seed-starter trays,R,R
Plastic sandwich bag or food packaging,R,R
Plastic soap bottle,R,R
Plastic water bottles (250 ml - 15 L sizes),R,R
Popsicle sticks and wood skewers,C,C
Sawdust/ wood shavings or pencil shavings,C,C
Facial tissue,C,C
Microwave popcorn bag,C,C
Shredded paper,C,C
Small pet bedding and nesting material,C,G
Toothpicks/ bamboo skewers and Eco cubes,C,C
Wood chips/ shavings or sawdust,C,C
Wooden cutlery,C,C
15-litre plastic water bottle (single use),R,R
Aluminum can,R,R
Aluminum foil plate,R,R
Aluminum trays and liners,R,R
Antifreeze - empty container,R,R
Black plastic takeout trays,R,R
Boxboard,R,R
Bristol board or flip chart paper,R,R
Broken glass from jars and bottles,R,G
Calendar,R,R
Cardboard box/ basket or carton,R,R
Catalogue,R,R
Computer paper,R,R
Construction and craft paper,R,C
Detergent box,R,R
Dry cleaning bag,R,R
Empty prescription bottles,R,R
Envelope (with plastic window),R,R
Envelope (without plastic window),R,R
File folders,R,R
Flyers,R,R
Gift bag (rope removed/ non metallic),R,R
Gift boxes,R,R
Gift wrapping paper (non-metallic),R,G
Glass bottle,R,R
Glass coffee jar,R,R
Glass jar,R,R
Greeting card (without foil),R,R
Hardcover book/ bound journal or notebook,R,R
Household cleanser bottle (empty),R,R
Household paper or printed papers,R,R
Index card,R,R
Junk mail,R,R
Kleenex box with plastic film,R,R
